nom,SIREN,type,COG,COG_3digits,code_departement,code_departement_3digits,code_region,population,EPCI,url-ptf,url-datagouv,id-datagouv,merge,ptf,trancheEffectifsUniteLegale,EffectifsSup50
Jassans-Riottier,210101945,COM,01194,,01,001,84,6458,200040590.0,,,,,,22.0,True
Lagnieu,210102026,COM,01202,,01,001,84,7289,240100883.0,,,,,,21.0,True
Meximieux,210102448,COM,01244,,01,001,84,7871,240100883.0,,,,,,22.0,True
Miribel,210102497,COM,01249,,01,001,84,10075,240100800.0,,,,,,31.0,True
Montluel,210102620,COM,01262,,01,001,84,7048,240100610.0,,https://www.data.gouv.fr/fr/organizations/6163f01f7b240574f0c50337/,6163f01f7b240574f0c50337,datagouv,DataGouv,22.0,True
Montmerle-sur-Saône,210102638,COM,01263,,01,001,84,3859,200070118.0,,,,,,21.0,True
Montréal-la-Cluse,210102653,COM,01265,,01,001,84,3505,200042935.0,,,,,,21.0,True
Nantua,210102695,COM,01269,,01,001,84,3584,200042935.0,,,,,,21.0,True
Ornex,210102810,COM,01281,,01,001,84,4575,240100750.0,,,,,,21.0,True
Oyonnax,210102836,COM,01283,,01,001,84,22943,200042935.0,,,,,,41.0,True
Péronnas,210102893,COM,01289,,01,001,84,6675,200071751.0,,,,,,21.0,True
Prévessin-Moëns,210103131,COM,01313,,01,001,84,8431,240100750.0,,,,,,22.0,True
Reyrieux,210103222,COM,01322,,01,001,84,4929,200042497.0,,,,,,21.0,True
Saint-Denis-lès-Bourg,210103446,COM,01344,,01,001,84,5908,200071751.0,,,,,,21.0,True
Saint-Genis-Pouilly,210103545,COM,01354,,01,001,84,12725,240100750.0,,,,,,32.0,True
Saint-Maurice-de-Beynost,210103768,COM,01376,,01,001,84,4006,240100800.0,,,,,,21.0,True
Thoiry,210104196,COM,01419,,01,001,84,6215,240100750.0,,,,,,22.0,True
Trévoux,210104279,COM,01427,,01,001,84,7009,200042497.0,,,,,,22.0,True
Villars-les-Dombes,210104436,COM,01443,,01,001,84,4884,200069193.0,,,,,,22.0,True
Villieu-Loyes-Mollon,210104501,COM,01450,,01,001,84,3717,240100883.0,,,,,,21.0,True
Viriat,210104519,COM,01451,,01,001,84,6566,200071751.0,,,,,,22.0,True
Belleu,210200630,COM,02064,,02,002,32,3861,240200477.0,,,,,,21.0,True
Bohain-en-Vermandois,210200929,COM,02095,,02,002,32,5754,240200493.0,,,,,,22.0,True
Château-Thierry,210201554,COM,02168,,02,002,32,15486,200072031.0,,,,,,41.0,True
Chauny,210201604,COM,02173,,02,002,32,12317,200071785.0,,,,,,31.0,True
Gauchy,210203212,COM,02340,,02,002,32,5360,200071892.0,,,,,,22.0,True
Guise,210203428,COM,02361,,02,002,32,4929,200071983.0,,,,,,22.0,True
Hirson,210203618,COM,02381,,02,002,32,9001,240200600.0,,,,,,32.0,True
Laon,210203873,COM,02408,,02,002,32,25549,200043495.0,,,,,,41.0,True
Saint-Quentin,210206660,COM,02691,,02,002,32,55098,200071892.0,,https://www.data.gouv.fr/fr/organizations/534fffaea3a7292c64a780fb,534fffaea3a7292c64a780fb,datagouv,DataGouv,42.0,True
Soissons,210206959,COM,02722,,02,002,32,29176,240200477.0,https://data.ville-soissons.fr/explore/?disjunctive.theme&sort=explore.popularity_score&refine.publisher=Ville+de+Soissons+,,,ptf,Soissons,41.0,True
Tergnier,210207114,COM,02738,,02,002,32,13642,200071785.0,,,,,,32.0,True
Villers-Cotterêts,210207833,COM,02810,,02,002,32,11309,200071991.0,,,,,,31.0,True
Avermes,210300133,COM,03013,,03,003,84,4064,200071140.0,,,,,,22.0,True
Bellerive-sur-Allier,210300232,COM,03023,,03,003,84,8763,200071363.0,,,,,,22.0,True
Commentry,210300828,COM,03082,,03,003,84,6427,200071512.0,,,,,,31.0,True
Cusset,210300950,COM,03095,,03,003,84,13142,200071363.0,,,,,,32.0,True
Désertines,210300984,COM,03098,,03,003,84,4508,200071082.0,,,,,,21.0,True
Domérat,210301016,COM,03101,,03,003,84,8946,200071082.0,,,,,,22.0,True
Gannat,210301180,COM,03118,,03,003,84,6032,200071389.0,,,,,,22.0,True
Montluçon,210301859,COM,03185,,03,003,84,36746,200071082.0,,,,,,41.0,True
