nom,SIREN,type,code_departement,code_departement_3digits,code_region,population
CC de l'Outre-Forêt,200040178,CC,67,067,44,16431
CC du Haut Pays du Montreuillois,200069235,CC,62,062,32,16458
CC du Pays de Saint-Éloy,200072080,CC,63,063,84,16473
CC du Doubs Baumois,242504447,CC,25,025,27,16480
CC des Terres d'Auxois,200071017,CC,21,021,27,16518
CC de la Région de Blain,244400453,CC,44,044,52,16526
CC des Deux Vallées Vertes,200068294,CC,25,025,27,16531
CC de la Vallée de la Doller et du Soultzbach,246800676,CC,68,068,44,16536
CC de la Vallée de Munster,246800585,CC,68,068,44,16567
"CC Vendée,Sèvre,Autise",248500563,CC,85,085,52,16591
CC du Sud Messin,200039907,CC,57,057,44,16604
CC du Mont des Avaloirs,200042182,CC,53,053,52,16633
CC Le Tonnerrois en Bourgogne,200039642,CC,89,089,27,16649
CC Sarlat-Périgord Noir,200027217,CC,24,024,75,16685
CC Rurales de l'Entre-deux-Mers,200069599,CC,33,033,75,16813
CC des Lisières de l'Oise,246000749,CC,60,060,32,16861
CC de la Châtre et Sainte-Sévère,243600350,CC,36,036,24,16904
CC Serre-Ponçon,200067742,CC,"04,05","04,05",93,16951
CC de la Vallée de Kaysersberg,246800551,CC,68,068,44,16959
CC du Vexin-Val de Seine,249500513,CC,95,095,11,16970
CC de la Beauce Loirétaine,200035764,CC,45,045,24,16995
CC du Pays Foyen,243301371,CC,"24,33","24,33",75,17004
CC Creuse Confluence,200067544,CC,23,023,75,17022
CC de la Forêt,244500484,CC,45,045,24,17062
CC du Castelrenaudais,243700499,CC,37,037,24,17074
"CC Meurthe,Mortagne,Moselle",200067643,CC,54,054,44,17085
CC Vaison Ventoux,248400335,CC,"26,84","26,84","84,93",17120
CC du Nogentais,200006716,CC,10,010,44,17137
CC des Portes de Meuse,200066108,CC,55,055,44,17152
CC du Pilat Rhodanien,244200895,CC,42,042,84,17178
CC du Fronsadais,243301397,CC,33,033,75,17256
CC Thiérache Sambre et Oise,200071983,CC,02,002,32,17266
CC de la Haute-Bigorre,246500482,CC,65,065,76,17334
CC Seulles Terre et Mer,200069516,CC,14,014,28,17353
CC Cœur de Chartreuse,200040111,CC,"38,73","38,73",84,17385
CC du Créonnais,243301215,CC,33,033,75,17433
CC des Bastides en Haut-Agenais Périgord,200036523,CC,47,047,75,17444
CC de la Basse-Zorn,246700843,CC,67,067,44,17500
CC des Rives du Haut-Allier,200073393,CC,43,043,84,17535
CC des Quatre Vallées,244500419,CC,45,045,24,17636
CC de Val'Aïgo,243100773,CC,31,031,76,17679
CC de l'Île de Ré,241700459,CC,17,017,75,17706
CC Picardie des Châteaux,200071769,CC,02,002,32,17755
CC Brioude Sud Auvergne,200085728,CC,43,043,84,17766
CC Cœur de Saintonge,241700517,CC,17,017,75,17775
CC du Gâtinais en Bourgogne,248900748,CC,89,089,27,17783
CC du Sud Est du Pays Manceau,247200421,CC,72,072,52,17834
CC de l'Argonne Ardennaise,240800920,CC,08,008,44,17871
CC Sauer-Pechelbronn,200013050,CC,67,067,44,17888
CC du Pays Tarusate,244000766,CC,40,040,75,17977
CC Sud-Hérault,200042653,CC,34,034,76,18016
CC du Béarn des Gaves,200067288,CC,64,064,75,18077
