siren,nom,type,regcode,url-ptf,nb-ptf,url-datagouv,nb-datagouv,id-datagouv,id-ods,pop-insee,lat,long,merge,depcode,ptf,Techno (from Plateformes),Thématiques
200033694,LE DEVOLUY,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/602d591728499d0394fe6c0a/,1.0,602d591728499d0394fe6c0a,,941.0,44.684409,5.898484,datagouv,05,DataGouv,DataGouv,Equipements
210500625,LE GLAIZIL,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/60361733543b34c5495f7616/,1.0,60361733543b34c5495f7616,,163.0,44.753884,5.983173,datagouv,05,DataGouv,DataGouv,Equipements
217603513,LE HAVRE,COM,NOR-28,https://data.lehavreseinemetropole.fr/#,161.0,https://www.data.gouv.fr/fr/organizations/5a3a7cd8c751df3092aea45a/,61.0,5a3a7cd8c751df3092aea45a,,174911.0,49.493304,0.107396,ptf+datagouv,76,"Le Havre Seine Métropole, DataGouv","Spécifique, DataGouv","Administratif, Citoyenneté, Economie, Transport, Urbanisme, Education, Equipements, Environnement"
217201813,LE MANS,COM,PDL-52,https://data-lmm.opendata.arcgis.com/search,70.0,,,,,147121.0,48.003264,0.195522,ptf,72,Le Mans Métropole,ArcGIS,"Equipements, Citoyenneté, Administratif"
503486870,LE MOTIF - OBSERVATOIRE DU LIVRE ET DE L'ECRIT,OACT,IDF-11,https://data.iledefrance.fr/explore/?refine.publisher=MOTif,8.0,,,,MOTif,,48.875077,2.376641,ptf,75,Ile-de-France,OpenDataSoft,Culture
210500955,LE NOYER,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/6040b3353f4d38fc6263c432/,1.0,6040b3353f4d38fc6263c432,,289.0,44.698197,6.012761,datagouv,05,DataGouv,DataGouv,Equipements
214702011,LE PASSAGE,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5ab24b9188ee385d43b29616/,1.0,5ab24b9188ee385d43b29616,,9607.0,44.201228,0.602326,datagouv,47,DataGouv,DataGouv,Social
214401200,LE PELLERIN,COM,PDL-52,https://data.nantesmetropole.fr/explore/?refine.publisher=Le+Pellerin,4.0,,,,Le Pellerin,5125.0,47.198407,-1.754058,ptf,44,Nantes Métropole,OpenDataSoft,"Administratif, Citoyenneté, Transport, Equipements, Environnement, Urbanisme, Social, Education"
219400587,LE PERREUX SUR MARNE,COM,IDF-11,,,https://www.data.gouv.fr/fr/organizations/534fff85a3a7292c64a77ea9,2.0,534fff85a3a7292c64a77ea9,,34264.0,48.840832,2.506782,datagouv,94,DataGouv,DataGouv,Social
213601594,LE POINCONNET,COM,CVL-24,https://data.centrevaldeloire.fr/explore/?q=le+poin%C3%A7onnet&sort=explore.popularity_score,13.0,https://www.data.gouv.fr/fr/organizations/618292126ca6738c405a64a9/,13.0,618292126ca6738c405a64a9,,5831.0,46.76667,1.71667,ptf+datagouv,36,"Centre Val-de-Loire, DataGouv","OpenDataSoft, DataGouv","Administratif, Santé"
214401358,LE POULIGUEN,COM,PDL-52,https://capatlantique-loireatlantique.opendatasoft.com/explore/?refine.publisher=Le+Pouliguen,1.0,,,,Le Pouliguen,4455.0,47.2769,-2.43042,ptf,44,Cap Atlantique,OpenDataSoft,Citoyenneté
218300986,LE PRADET,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/58f5d64788ee3847b91e4f32,1.0,58f5d64788ee3847b91e4f32,,10426.0,43.105256,6.022873,datagouv,83,DataGouv,DataGouv,Equipements
210501631,LE SAUZE-DU-LAC,COM,PAC-93,,,https://www.data.gouv.fr/fr/datasets/base-adresse-locale-bal-de-la-commune-le-sauze-du-lac-05163/,1.0,,,145.0,44.47832,6.3128,datagouv,05,DataGouv,DataGouv,Equipements
212901235,LENNON,COM,BRE-53,https://data-catalogue.megalis.bretagne.bzh/fr/organizations/commune-de-lennon/,2.0,,,,,818.0,48.191868,-3.897765,ptf,29,Mégalis Bretagne,,"Citoyenneté, Administratif"
219300456,LES LILAS,COM,IDF-11,,,https://www.data.gouv.fr/fr/organizations/534fff86a3a7292c64a77eab,31.0,534fff86a3a7292c64a77eab,,23110.0,48.879097,2.416428,datagouv,93,DataGouv,DataGouv,"Education, Administratif, Sécurité, Equipements, Environnement, Urbanisme, Social, Culture, Citoyenneté, Transport, Enfance, Finance, Sport"
210500989,LES ORRES,COM,PAC-93,,,https://www.data.gouv.fr/fr/datasets/base-adresse-locale-bal-de-la-commune-les-orres-05098/,1.0,,,556.0,44.514002,6.551031,datagouv,04,DataGouv,DataGouv,Equipements
210402202,LES THUILES,COM,PAC-93,,,https://www.data.gouv.fr/fr/datasets/base-adresse-locale-bal-de-la-commune-les-thuiles-04220/,1.0,,,388.0,44.393506,6.574465,datagouv,04,DataGouv,DataGouv,Equipements
210501805,LES VIGNEAUX,COM,PAC-93,,,https://www.data.gouv.fr/fr/organizations/610318260a97a72bae32d708/,1.0,610318260a97a72bae32d708,,539.0,44.823706,6.542025,datagouv,05,DataGouv,DataGouv,Equipements
219200441,LEVALLOIS,COM,IDF-11,,,https://www.data.gouv.fr/fr/organizations/5afd51bfc751df62ae0b80ff/,75.0,5afd51bfc751df62ae0b80ff,,65817.0,48.892956,2.288168,datagouv,92,DataGouv,DataGouv,"Administratif, Culture, Education, Equipements, Santé, Transport, Environnement"
