ndeg_siren,adresse,identifiant_unique,montant_subvention,gestion,beneficiaire
39185715800052.0,7/9 RUE DENIS PAPIN TRAPPES,1134,11938.1,Région IDF,ASCBODVT ASS SOCIO CULTUR BLEU OXYGENE DEVELOP
509297206.0,1 RUE MARGUERITE YOURCENAR 78180 MONTIGNY-LE-BRETONNEUX,1138,5800.0,ASP,ASCOVAE
38778571000022.0,14 PLACE CARPEAUX PUTEAUX,1141,1500.0,Région IDF,ASD ASSOCIATION DU SITE DE LA DEFENSE
33822667300014.0,1 AV DES PINS LA ROCHETTE,1151,1338.0,Région IDF,ASFO JEUNES 77
52159619700017.0,35 RUE SEVERINE LE KREMLIN-BICETRE,1164,2268.0,Région IDF,ASS ACSED
44771392600015.0,1  RUE DE LA ROCHELLE RUNGIS CEDEX,1176,80000.0,Région IDF,ASS CFA DE LA POISSONNERIE
44771392600015.0,1  RUE DE LA ROCHELLE RUNGIS CEDEX,1179,2150.0,Région IDF,ASS CFA DE LA POISSONNERIE
44771392600015.0,1  RUE DE LA ROCHELLE RUNGIS CEDEX,1180,9216.0,Région IDF,ASS CFA DE LA POISSONNERIE
40867524700030.0,8 RUE TRAVERSIERE CERGY,1188,8351.4,Région IDF,ASS CONVERGENCES EMPLOI CERGY
451709190.0,ACTION EMPLOI A SAINT OUEN 6 PLACE DE LA REPUBLIQUE 93406 SAINT-OUEN,1206,25483.46,ASP,ASS DE GESTION DU PLIE DE SAINT OUEN
41930286400014.0,HAMEAU DE SAVIGNY SAINT-HILLIERS,1221,31439.19,Région IDF,ASS ENVIRONNEMENT ET DECOUVERTE DE FERME
41830390500016.0,2  QUAI  AULAGNIER ASNIERES S/SEINE,1233,8960.0,Région IDF,ASS FORMATION METIERS DANSE CHANT COMEDIE
49903526900012.0,AV BERNARD HIRSCH CERGY PONTOISE,1241,3996.0,Région IDF,ASS FORMATION PAR APPRENTISSAGE CCIV ESSEC
786446914.0,ECOLE AGRICULTURE LES ETABLERES SAINT SAUVEUR 85390 MOUILLERON-EN-PAREDS,1256,1438.2,ASP,ASS GESTION ECOLE AGRICULTURE ETABLIERES
47982424500027.0,24 RUE STEPHENSON PARIS,1260,8238.57,Région IDF,ASS GESTIONNAIRE DU CFA TOURISME
47982424500027.0,24 RUE STEPHENSON PARIS,1262,10224.0,Région IDF,ASS GESTIONNAIRE DU CFA TOURISME
47982424500027.0,24 RUE STEPHENSON PARIS,1265,832000.0,Région IDF,ASS GESTIONNAIRE DU CFA TOURISME
38406807800029.0,10 AVENUE DU NOYER LAMBERT MASSY,1272,10000.0,Région IDF,ASS JEUNES POUR LE MONDE ET POUR LA PAIX
44267800900030.0,150 RUE DES POISSONNIERS PARIS,1280,2777.5,Région IDF,ASS LES PETITS CITOYENS
49076554200025.0,4 CITE LEROY PARIS,1282,6038.75,Région IDF,ASS LEYA DJAMA
398694570.0,5 RUE DU MONGEROULT 95830 CORMEILLES-EN-PARISIS,1321,30000.0,ASP,ASS VEXIN INSERTION EMPLOI
77567628100014.0,5 RUE SAULNIER PARIS,1328,3000.0,Région IDF,ASSFAM ASS SERVICE SOCIAL FAMILIAL MIGRANTS
44466419700019.0,7    AVE DES CHASSEURS PARIS 17,1333,1736.0,Région IDF,ASSO COMPTABLES METIERS ET PROFESSIONS
451106413.0,206 QUAI DE VALMY 75010 PARIS,1363,18166.72,ASP,ASSOC ADEQUATIONS
327851986.0,2 RUE DE TOCQUEVILLE 75017 PARIS,1368,13500.0,ASP,ASSOC AGENCE DU COURT METRAGE
504212911.0,63 RUE DE STRASBOURG 94300 VINCENNES,1371,11250.0,ASP,ASSOC AIDE ET ENTRAIDE
481891281.0,12 PLACE DE LA MAIRIE 91400 SACLAY,1375,16416.67,ASP,ASSOC ALORS ON LE FAIT
408032019.0,7 RUE ALEXIS CHAUSSINAND 94200 IVRY-SUR-SEINE,1378,12000.0,ASP,ASSOC ANTI PODES
440826667.0,27 RUE DE ROUEN 92400 COURBEVOIE,1381,11583.3,ASP,ASSOC APSIE
483951463.0,49 LES HAMEAUX DE SEINE 91250 SAINTRY-SUR-SEINE,1391,30000.0,ASP,ASSOC ARSE
419437793.0,34 RUE EMILE ZOLA 94190 VILLENEUVE-SAINT-GEORGES,1394,28666.64,ASP,ASSOC ASPHALTE
450433016.0,4 RUE DE L'UNION 93000 BOBIGNY,1409,10249.94,ASP,ASSOC BIBLIOTEQUES EN SEINE SAINT DENIS
414982140.0,61 RUE DE LA CHAPELLE 75018 PARIS,1426,3000.0,ASP,ASSOC CHANTIER ECOLE
392669800.0,135 RUE SAINT MARTIN 75004 PARIS,1433,35166.64,ASP,ASSOC CINEMAS INDEPENDANTS PARISIENS
417801651.0,5 RUE UTRILLO 95120 ERMONT,1437,27083.28,ASP,ASSOC CLE
389017344.0,7 ALLEE EDISON 91120 PALAISEAU,1456,15000.0,ASP,ASSOC CRECHE PARENTALE LES FILOUSTICS
379304397.0,2 PLACE VICTOR HUGO 94270 KREMLIN-BICETRE,1465,6666.68,ASP,ASSOC DE GESTION DE L ESPACE CULTUREL ANDRE MALRAU
452513252.0,4 RUE JEAN BOUTON 75012 PARIS,1481,13750.0,ASP,ASSOC DES CIGALES DE PARIS
444298806.0,144 AV DE FLANDRE 75019 PARIS,1486,12500.0,ASP,ASSOC DIDATTICA
332554252.0,2 RUE DES PYRENEES 94623 RUNGIS,1511,17833.3,ASP,ASSOC ESPACE MUSICAL STUDIOS PUCE MUSE
388422941.0,132 RUE DU FAUBOURG SAINT DENIS 75010 PARIS,1524,10000.0,ASP,ASSOC FEDERATION JALMALV
432482503.0,2 ROUTE DE LA NOUE 91116 GIF-SUR-YVETTE,1532,12000.0,ASP,ASSOC FINANCE ET TECHNOLOGIE
323923649.0,18 RUE DE VARENNE 75007 PARIS,1535,15000.0,ASP,ASSOC FONDA
784263303.0,57 RUE CUVIER 75231 PARIS,1542,13333.36,ASP,ASSOC FRANCE NATURE ENVIRONNEMENT
393611140.0,7 RUE PIERRE DELORON 92700 COLOMBES,1552,16250.0,ASP,ASSOC GALIPETTE
384644852.0,2 ALLEE DE COLMAR 93110 ROSNY-SOUS-BOIS,1557,15000.0,ASP,ASSOC GESTION GLOBALE CENTRE SOCIO
434308318.0,RUE RENE CASSIN 91000 EVRY,1571,10250.04,ASP,ASSOC I C I ET L A
401715131.0,37 BLD DEVAUX 78300 POISSY,1572,15000.0,ASP,ASSOC I H Y
423029198.0,39 BLD ANATOLE FRANCE 93200 SAINT-DENIS,1573,11250.0,ASP,ASSOC IKAMBERE
484874854.0,PLACE DU GENERAL DE GAULE 91000 EVRY,1594,1250.0,ASP,ASSOC L ART ET LA VOIE
50446331600019.0,181 AVENUE JEAN JAURES PARIS,1598,8000.0,Région IDF,ASSOC L IMPOSSIBLE
442661005.0,150 RUE DU CHEMIN VERT 75011 PARIS,1601,14750.0,ASP,ASSOC L ORAGE CONTINENTAL
477567523.0,6 RUE DUC 75018 PARIS,1603,8333.34,ASP,ASSOC L' ONDE ET CYBELE
504463316.0,181 AV JEAN JAURES 75019 PARIS,1604,27500.0,ASP,ASSOC L'IMPOSSIBLE
413633108.0,1 RUE JEAN BULLANT 95400 VILLIERS-LE-BEL,1607,21900.0,ASP,ASSOC LA CASE
444490395.0,180 B RUE PAUL VAILLANT COUTURIER 94140 ALFORTVILLE,1610,68900.0,ASP,ASSOC LA FRIPERIE SOLIDAIRE
397582222.0,5 RUE DE LA TERRE SAINT BLAISE 93140 BONDY,1613,41430.0,ASP,ASSOC LA MARMITE
